,id_estacao,data_medicao,coleta,ponto,data_inicio,data_fim,ph,temperatura_do_ar,temperatura_da_agua,salinidade,oxigenio_dissolvido,turbidez,disco_de_secchi,profundidade_total,profundidade_de_coleta,coliformes_totais,escherichia_coli,nitrogenio_amoniacal,fosforo_total_mg_l,fosforo_total_mg_kg,fosfato_total,nitrato,silica,sulfeto,materia_organica
0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,2022-12-20 11:21:00,Sedimento,LRF1 - Fundo,2022-12-20 11:16:00,2022-12-20 11:21:00,7.1,,,13.4,1.11,,,,,,,,,1.044,,,,,19.9665
11,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,2024-06-07 14:53:00,Sedimento,LRF6 - Fundo,2024-06-07 14:38:00,2024-06-07 14:53:00,,,,,,,,,,,,,,1.05,,,,,4.7
14,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,2022-12-20 10:45:00,Sedimento,LRF3 - Fundo,2022-12-20 10:44:00,2022-12-20 10:45:00,7.09,,,13.5,1.82,,,,,,,,,6.13,,,,,18.6162
22,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,2022-12-20 11:48:00,Sedimento,LRF4 - Fundo,2022-12-20 11:43:00,2022-12-20 11:48:00,6.97,,,13.6,1.75,,,,,,,,,0.724,,,,,22.1691
33,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,
